EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5701492,KERN CO.,TEHACHAPI,07/11/1999,1330,Lightning, , ,0,0,0,0,CA,PST, ,2408070,C,29,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,TEHACHAPI,07/11/1999,1338, , , , ,"","Widespread thunderstorm activity in the Kern County Deserts brought numerous instances of heavy rain, water run-off, and gusty wind.  Heavy rainfall began around midday in the Tehachapi Mountains around the town of Tehachapi and in the Mojave Desert near Rosamond.  One spotter in Tehachapi reported 5" of rain in the time period from 1100 until 1434 PST.  Several lightning strikes occurred around Tehachapi at approximately 1330 PST. Urban and Small Stream Flooding subsequently occurred from the thunderstorms in Tehachapi and Rosamond.  In addition, 1/2" hail was reported in Rosamond at 1405 PST along with estimates of 45 Knot wind and a rainfall rate of 1/2" in 15 minutes prior to 1415 PST.  Trees and powerlines were reported downed from the thunderstorm.  Heavy rainfall in the Kern County Mojave Desert also led to Flash Flooding over the Redrock-Randsburg Road just north of Cantil in the early evening hours...crossing the road at approximately 1650 PST.  Late in the afternoon, high wind from the thunderstorm lasted for about 5 minutes and downed powerpoles and lines north of Inyokern.",29
5701593,KERN CO.,METTLER,07/12/1999,1306,Lightning, , ,0,0,110000,0,CA,PST, ,2406906,C,29,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,METTLER,07/12/1999,1306, , , , ,"","A severe thunderstorm moved southwestward across the far Southern San Joaquin Valley during the early to mid-afternoon hours of July 12th.  Numerous reports of downed powerlines due to gusty wind were received in the vicinity of Arvin and Lamont shortly after 1300 PST along with an unofficial report of a funnel cloud.  At the latter stages of the storm passage lightning caused a structural fire and the accompanying gusty wind overturned a tractor-trailer rig on Interstate Highway #5 around 1320 PST.  Visibility reportedly dropped to only 1/2 mile in heavy rain along with 1/4" hail by 1405 PST.  The thunderstorm activity also led to a lightning strike that touched off a fire in a packing shed destroying a crop of peppers and equipment.",30
5701588,KERN CO.,INYOKERN,07/13/1999,1430,Lightning, , ,0,0,5000,0,CA,PST, ,1081967,C,29,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , ,2,E, , ,RIDGECREST,07/13/1999,1510, , , , ,"Numerous lightning strikes in the vicinity of Inyokern and Ridgecrest.  A pole fire resulted as early as 1430 PST from a lightning strike with another report as late as 1510 PST in Ridgecrest.","",31
5706561,LOS ANGELES CO.,PALMDALE,07/13/1999,1430,Lightning, , ,0,1,0,0,CA,PST, ,2408455,C,37,LOX,0,0,NEWSPAPER, , , , , , , ,PALMDALE,07/13/1999,1430, , , , ,"","Strong thunderstorms produced heavy rain, strong winds and dangerous lightning across the Antelope Valley and the mountains of Santa Barbara, Ventura and Los Angeles Counties. In Palmdale, lightning struck a steam-roller operator while strong thunderstorm winds snapped small trees. Heavy rain resulted in many reports of flash flooding across the area. In the Antelope Valley, flash flooding was reported in both Palmdale and Lancaster. In northern Ventura County, flash flooding was reported in Quatal and Apache Canyons. In Santa Barbara County, flash flooding was reported across the Dick Smith Wilderness Area.",32
5709104,FRESNO CO.,HUNTINGTON LAKE,08/10/1999,1210,Lightning, , ,0,0,0,0,CA,PST, ,2410384,C,19,HNX,0,0,GENERAL PUBLIC, , , ,18,NE,18,NE,HUNTINGTON LAKE,08/10/1999,1730, , , , ,"As reported by the general public hiking in the high Sierra Nevada, a thunder snowstorm was reported.  Numerous cloud-to-ground lightning strokes along with an accumulation of 3-4" of snow during the afternoon and early evening of the 10th at the 11,500 foot elevation of the upper Fish Creek Drainage and Silver Divide area.","",33
5721711,MARIPOSA CO.,COULTERVILLE,09/09/1999,1030,Lightning, , ,0,0,0,0,CA,PST, ,2414584,C,43,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,COULTERVILLE,09/09/1999,1100, , , , ,"Four (4) lightning strikes were observed by an OES Fire Official in the vicinity of Coulterville.  The strikes all produced small fires.  No injuries or damage was reported except for the costs of suppression.","",34
5717072,CALAVERAS CO.,COUNTYWIDE,09/09/1999,1200,Lightning, , ,0,0,0,0,CA,PST, ,2412726,C,9,STO,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,09/09/1999,1300, , , , ,"Lightning disrupted service for 7,000 PG&E customers. County officials reported dozens of grass fires were started as well, but were all quickly contained. No injuries or deaths were reported.","",35
5717073,TUOLUMNE CO.,COUNTYWIDE,09/09/1999,1200,Lightning, , ,0,0,0,0,CA,PST, ,2412726,C,109,STO,0,0,NEWSPAPER, , , , , , , ,COUNTYWIDE,09/09/1999,1300, , , , ,"Lightning disrupted service for 2,300 PG&E.","",36
5716990,NEVADA CO.,CEDAR RIDGE,09/09/1999,1200,Lightning, , ,0,0,15000,0,CA,PST, ,2412725,C,57,STO,0,0,NEWSPAPER, , , , , , , ,CEDAR RIDGE,09/09/1999,1300, , , , ,"","A single lightning strike carved out a 24 square foot section of roof in a two story, Cedar Ridge home. A second floor bedroom was destroyed. No injuries or deaths occurred.",37
5717579,MADERA CO.,MADERA,09/21/1999,2209,Lightning, , ,0,0,0,0,CA,PST, ,2413611,C,39,HNX,0,0,TRAINED SPOTTER, , , ,9,E,9,E,MADERA,09/22/1999,30, , , , ,"","Moisture from former Hurricane Hilary spread northward into Interior Central California very late on Tuesday, September 21st and over the entire area by Wednesday, September 22nd.  Very light rain showers were reported as far north as Madera Ranchos in Central Madera County by midnight with some thunderstorm activity. In the mid-morning hours of the 22nd, locally heavy rain showers occurred with thunderstorms primarily in the Tulare County area and North Kern County. Spotters reported 0.40" of rain from these showers. Only a few hundredths occurred in other Interior Central California Valley locations. Lightning strikes throughout the San Joaquin Valley portion of Tulare County caused 9700 customers to lose power.  Although rain forecasts were issued with good lead time...some growers in Tulare County were unable to get crews to roll raisins on about 1000 acres with as much as 50% loss of the crop.",38
5717578,TULARE CO.,VISALIA ARPT,09/22/1999,710,Lightning, , ,0,0,0,0,CA,PST, ,2413611,C,107,HNX,0,0,TRAINED SPOTTER, , , ,2,S,2,S,VISALIA ARPT,09/22/1999,1350, , , , ,"","Moisture from former Hurricane Hilary spread northward into Interior Central California very late on Tuesday, September 21st and over the entire area by Wednesday, September 22nd.  Very light rain showers were reported as far north as Madera Ranchos in Central Madera County by midnight with some thunderstorm activity. In the mid-morning hours of the 22nd, locally heavy rain showers occurred with thunderstorms primarily in the Tulare County area and North Kern County. Spotters reported 0.40" of rain from these showers. Only a few hundredths occurred in other Interior Central California Valley locations. Lightning strikes throughout the San Joaquin Valley portion of Tulare County caused 9700 customers to lose power.  Although rain forecasts were issued with good lead time...some growers in Tulare County were unable to get crews to roll raisins on about 1000 acres with as much as 50% loss of the crop.",39
5717074,STANISLAUS CO.,WESTLEY,09/22/1999,800,Lightning, , ,0,0,0,0,CA,PST, ,2412727,C,99,STO,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,WESTLEY,09/30/1999,2359, , , , ,"","Lightning was responsible for a 4.5 acre fire consisting of nearly 5 million used tires.",40
5721838,TULARE CO.,VISALIA,09/22/1999,1930,Lightning, , ,0,0,0,0,CA,PST, ,2414588,C,107,HNX,0,0,NEWSPAPER, , , , , , , ,VISALIA,09/22/1999,1935, , , , ,"Lightning struck two poles in Visalia around 0730 PST.","",41
5721836,KERN CO.,(BFL)MEADOWS FIELD AP,09/22/1999,2245,Lightning, , ,0,0,0,0,CA,PST, ,2414587,C,29,HNX,0,0,NEWSPAPER, , , ,3,SSW,3,SSW,(BFL)MEADOWS FIELD AP,09/22/1999,2245, , , , ,"","Light sprinkles and lightning occurred over the Southern San Joaquin Valley floor late the night of the 22nd and early on the morning of the 23rd as thunderstorms moved over the area.  Primary thunderstorm activity was in the surrounding mountain and desert areas.",42
5721837,KERN CO.,WASCO,09/23/1999,805,Lightning, , ,0,0,0,0,CA,PST, ,2414587,C,29,HNX,0,0,NEWSPAPER, , , , , , , ,WASCO,09/23/1999,805, , , , ,"","Light sprinkles and lightning occurred over the Southern San Joaquin Valley floor late the night of the 22nd and early on the morning of the 23rd as thunderstorms moved over the area.  Primary thunderstorm activity was in the surrounding mountain and desert areas.",43
5721710,MARIPOSA CO.,EL PORTAL,09/23/1999,1500,Lightning, , ,0,0,0,0,CA,PST, ,2413930,C,43,HNX,0,0,FIRE DEPT/RESCUE SQUAD, , , ,6,NNW,6,NNW,EL PORTAL,09/23/1999,1600, , , , ,"Two (2) lightning strikes observed by OES Fire official in the vicinity of Crane Flat, NNW of El Portal, in the mid to late afternoon hours.  Both strikes produced small fires but were controlled.  No reported damage other than fire suppression.","",44
5136026,RIVERSIDE CO.,NORCO,03/03/2000,1830,Lightning, , ,0,3,0,10000,CA,PST, ,1092628,C,65,SGX,0,0,NEWSPAPER, , , , , , , ,NORCO,03/03/2000,1830, , , , ,"","A thunderstorm moved east across Orange County and the Inland Empire. Lightning struck a boat docked in Newport Beach, but the resulting fire was quickly extinquished. Several power transformers were also struck as the thunderstorm moved inland, resulting in power outages to 6300 customers in Orange County. In Riverside County, lightning struck a 50 foot pine tree just as a car was passing by. Three occupants felt the electricity course through their bodies and the heat from the lightning strike.",45
5136024,ORANGE CO.,NEWPORT BEACH,03/03/2000,1935,Lightning, , ,0,0,50000,0,CA,PST, ,1092628,C,59,SGX,0,0,NEWSPAPER, , , , , , , ,YORBA LINDA,03/03/2000,1950, , , , ,"","A thunderstorm moved east across Orange County and the Inland Empire. Lightning struck a boat docked in Newport Beach, but the resulting fire was quickly extinquished. Several power transformers were also struck as the thunderstorm moved inland, resulting in power outages to 6300 customers in Orange County. In Riverside County, lightning struck a 50 foot pine tree just as a car was passing by. Three occupants felt the electricity course through their bodies and the heat from the lightning strike.",46
5142476,MERCED CO.,SANTA NELLA,04/17/2000,1730,Lightning, , ,0,1,0,0,CA,PST, ,1094270,C,47,HNX,0,0,LAW ENFORCEMENT, , , ,11,WSW,11,WSW,SANTA NELLA,04/17/2000,1730, , , , ,"","Report from California Highway Patrol that a woman's car had been struck by lightning going over Pacheco Pass during a thunderstorm.  CHP also reported 1/4 inch hail causing several accidents due to heavy rain and hail on the roadway.",47
